startup_name,article_url,funding_amount,investors,date_added
Iom Bioworks,https://yourstory.com/2026/06/iom-bioworks-coffee-husk-prebiotic-gut-brain-health,Rs 4 crore,Inflection Point Ventures,2026-06-03 09:46:38
Agilitas,https://yourstory.com/2026/06/agilitas-gets-225-crore-funding-nexus-venture-rainmatter-zerodha,225 crore,"Nexus Venture Partners, Rainmatter by Zerodha",2026-06-03 10:23:47
FirstClub,https://yourstory.com/2026/06/weekly-funding-roundup-may-30--june-5-bounce-back-in-vc-inflow-into-indian-startups,$55 million,"Peak XV Partners, Sofina, Accel, RTP Global, Paramark Ventures",2026-06-06 05:32:03
Ola Electric Mobility,https://yourstory.com/2026/06/ola-electric-raises-rs-780-crore-qip-oversubscribed-ev-funding,780 crore,"Goldman Sachs, BNP Climate Fund, Motilal Oswal Mutual Fund, Mirae Asset Mutual Fund, Kotak Mahindra Mutual Fund, JM Financial Mutual Fund, Baroda BNP Paribas Mutual Fund",2026-06-06 05:32:03
FirstClub,https://yourstory.com/2026/06/karnataka-deeptech-quantum-computing-vision,$55M,,2026-06-06 05:32:03
Ola Electric Mobility,https://yourstory.com/2026/06/ola-electric-raises-780-crore-via-qip,780 crore,"Goldman Sachs, BNP Climate Fund, Motilal Oswal Mutual Fund, Mirae Asset Mutual Fund, Kotak Mahindra Mutual Fund, JM Financial Mutual Fund, Baroda BNP Paribas Mutual Fund",2026-06-06 05:32:03
Innefu Labs,https://yourstory.com/2026/06/innefu-labs-raises-30-million-in-series-b-from-panthera-growth-partners,$30 million,Panthera Growth Partners,2026-06-06 05:32:03
FirstClub,https://yourstory.com/2026/06/ecommerce-is-ripe-for-disruption,$55M,,2026-06-06 05:32:03
VerveSemi,https://yourstory.com/2026/06/3-indian-semiconductor-startups-are-taking-indias-chip-story-to-france,$10 million,"Ashish Kacholia, Unicorn India Ventures",2026-06-06 05:32:03
Innefu Labs,https://yourstory.com/2026/06/startup-news-and-updates-daily-roundup-june-5-2026,30 million,Panthera Growth Partners,2026-06-06 05:32:03
FirstClub,https://inc42.com/buzz/from-firstclub-to-innefu-indian-startups-raised-187-mn-this-week/,$55 Mn,"Peak XV Partners, Sofina, Accel, RTP Global, Paramark Ventures",2026-06-06 05:32:03
KNOT,https://yourstory.com/2026/06/kae-capital-sunitha-viswanathan-on-whats-driving-consumer-bets-in-india,Not Disclosed,Kae Capital,2026-06-07 06:17:26
Nazara,https://inc42.com/buzz/nazara-to-raise-%e2%82%b9500-cr-via-preferential-issue/,₹474 Cr,"Fidelis Global (Riambel Capital PCC-RCC1), S Gupta Family Enterprises, Plutus Investments, Founders Collective Fund",2026-06-07 06:17:26
Immuneel Therapeutics,https://yourstory.com/2026/06/kiran-mazumdar-shaw-founded-immuneel-therapeutics-raises-rs-100-crore-series-b-funding,Rs 100 Crore,"Singularity AMC, Rainmatter by Zerodha, high networth individuals, Kiran Mazumdar-Shaw, Eight Roads Ventures, F-Prime Capital",2026-06-09 05:57:22
GPS Renewables,https://yourstory.com/2026/06/gps-renewables-raises-rs-635-crore-in-series-c-funding,Rs 635 crore,"PixelSky Capital, Spectrum Impact Family Office, a leading Korean conglomerate, Sojitz Corporation, other investors",2026-06-09 05:57:22
Immuneel Therapeutics,https://yourstory.com/2026/06/startup-news-and-updates-daily-roundup-june-8-2026,Rs 100 Cr,"Singularity AMC, Rainmatter by Zerodha, high networth individuals, Kiran Mazumdar-Shaw, Eight Roads Ventures, F-Prime Capital",2026-06-09 05:57:22
GPS Renewables,https://yourstory.com/2026/06/keralas-coconut-shell-products,Rs 635 Cr,"PixelSky Capital, Spectrum Impact Family Office, other investors",2026-06-09 05:57:22
Mygate,https://yourstory.com/2026/06/mygate-raises-rs-225-cr-from-dharana-capital,Rs 225 crore,Dharana Capital,2026-06-10 06:13:33
TheWedding Company,https://yourstory.com/2026/06/startup-news-and-updates-daily-roundup-june-9-2026,$2.75 million,"Wellingdon Advisors, LVX, Tremis Capital, Vivek Mathur, Rahul Garg, Apurva Patel",2026-06-10 06:13:33
BazaarNow,https://yourstory.com/2026/06/quick-commerce-startup-bazaarnow-raises-rs-72-cr-led-by-peak-xv-partners,Rs 72 crore,"Peak XV Partners, Whiteboard Capital, Antler, Vidit Aatrey, Prashant Sachan, Nitin Saluja, Siddharth Gadia, Ayyappan R",2026-06-10 06:13:33
Tsenta,https://yourstory.com/2026/06/tsenta-wants-to-make-job-applications-faster-smarter-less-manual,"$500,000",Y Combinator,2026-06-11 06:31:22
Exponent Energy,https://yourstory.com/2026/06/zohos-made-in-india-server-exponent-energy,Rs 200 crore,"360 ONE Asset, TDK Ventures, Hitachi Ventures, Eight Roads Ventures, Lightspeed, 3one4 Capital, AdvantEdge VC, YourNest",2026-06-11 06:31:22
Hoola Health,https://yourstory.com/2026/06/hoola-health-5-million-funding-peak-xv-surge,$5 million,"Peak XV’s Surge, W Health Ventures, Ashish Gupta, Abhishek Goyal, Bijou Kurien",2026-06-11 06:31:22
Exponent Energy,https://yourstory.com/2026/06/exponent-energy-rs-200-crore-funding-360-one-tdk-ventures,Rs 200 crore ($21.1 million),"360 ONE Asset, TDK Ventures, Hitachi Ventures, Eight Roads Ventures, Lightspeed, 3one4 Capital, AdvantEdge VC, YourNest",2026-06-11 06:31:22
Hoola Health,https://yourstory.com/2026/06/startup-news-and-updates-daily-roundup-june-10-2026,$5 million,"Peak XV’s Surge, W Health Ventures, Ashish Gupta, Abhishek Goyal, Bijou Kurien",2026-06-11 06:31:22
